City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Grindavik,IS,63.8424,-22.4338,27.07,63,100,31.07,light snow
175,Villa Alemana,CL,-33.0422,-71.3733,72.03,94,0,4.61,clear sky
176,Bairiki,KI,1.3292,172.9752,84.2,79,75,13.8,light rain
177,Codrington,AU,-38.2667,141.9667,69.3,58,99,20.67,overcast clouds
178,Porto Santo,PT,33.072,-16.3415,62.98,94,20,3.44,few clouds
179,Nuuk,GL,64.1835,-51.7216,7.88,78,75,11.5,light snow
180,Nikolskoye,RU,59.7035,30.7861,18.39,88,100,13.51,light snow
181,Pangai,TO,-19.8,-174.35,78.19,90,100,23.49,heavy intensity rain
182,Itupiranga,BR,-5.1347,-49.3267,73.72,98,100,4.14,light rain
183,Waingapu,ID,-9.6567,120.2641,84.51,71,60,13.04,broken clouds
184,Lingyuan,CN,41.24,119.4011,26.73,22,0,11.97,clear sky
185,Bredasdorp,ZA,-34.5322,20.0403,65.28,76,34,14.36,scattered clouds
186,Opuwo,NA,-18.0607,13.84,65.73,54,66,3.27,broken clouds
187,Alice Springs,AU,-23.7,133.8833,80.15,28,0,14.97,clear sky
188,Tupiza,BO,-21.45,-65.7167,56.7,73,9,7.78,clear sky
189,Katsuura,JP,35.1333,140.3,46.51,36,98,6.46,overcast clouds
190,Catio,GW,11.2833,-15.25,70.16,80,0,4.36,clear sky
191,Saint-Joseph,RE,-21.3667,55.6167,82.78,83,99,20.87,light rain
192,Lorengau,PG,-2.0226,147.2712,84.85,65,98,9.95,overcast clouds
193,Naze,JP,28.3667,129.4833,52.81,63,99,17.02,overcast clouds
194,Yulara,AU,-25.2406,130.9889,85.71,16,0,10.63,clear sky
195,Korla,CN,41.7597,86.1469,28.58,38,100,6.55,overcast clouds
196,Touros,BR,-5.1989,-35.4608,77.9,74,5,11.48,clear sky
197,Amudat,UG,1.95,34.95,72.61,43,81,2.59,broken clouds
198,Leningradskiy,RU,69.3833,178.4167,-19.59,94,43,7.07,scattered clouds
199,Dakar,SN,14.6937,-17.4441,68.88,72,0,15.05,clear sky
200,Kodiak,US,57.79,-152.4072,37.15,95,98,16.69,light rain
201,Port Lincoln,AU,-34.7333,135.8667,74.35,54,6,10.63,clear sky
202,Bathsheba,BB,13.2167,-59.5167,74.01,68,20,8.05,few clouds
203,Banda Aceh,ID,5.5577,95.3222,86.14,62,58,8.88,broken clouds
204,Gogrial,SS,8.5332,28.1004,69.42,18,99,7.99,overcast clouds
205,Cordoba,AR,-31.4135,-64.1811,67.75,75,0,4.61,clear sky
206,Visnes,NO,59.3556,5.2242,40.21,81,100,19.57,moderate rain
207,Kaitangata,NZ,-46.2817,169.8464,55.98,58,16,7.4,few clouds
208,Maldonado,UY,-34.6667,-54.9167,65.59,96,74,0.89,broken clouds
209,Tessalit,ML,20.1986,1.0114,55.11,22,0,11.72,clear sky
210,Manaure,CO,11.7751,-72.4445,75.51,82,0,11.65,clear sky
211,Ialibu,PG,-6.2821,143.9935,62.76,89,95,3.29,overcast clouds
212,San Pedro,PH,14.35,121.0167,85.35,63,23,18.66,few clouds
213,Chavakkad,IN,10.5333,76.05,81.77,54,42,2.53,scattered clouds
214,Clyde River,CA,70.4692,-68.5914,-15.65,97,100,4.68,overcast clouds
215,Flinders,AU,-34.5833,150.8552,74.17,66,58,11.01,broken clouds
216,Carnarvon,AU,-24.8667,113.6333,96.87,37,12,5.41,few clouds
217,Romblon,PH,12.5751,122.2708,77.99,83,96,21.5,overcast clouds
218,Jamestown,US,42.097,-79.2353,20.52,92,100,6.91,overcast clouds
219,Necochea,AR,-38.5473,-58.7368,64.04,74,100,8.21,moderate rain
220,Caribou,US,46.8606,-68.012,9.28,79,100,10.36,snow
221,Laguna,US,38.421,-121.4238,54.1,71,0,0.0,clear sky
222,Jiuquan,CN,39.7432,98.5174,19.74,31,100,6.35,overcast clouds
223,Ambon,ID,-3.6954,128.1814,89.74,62,40,8.05,scattered clouds
224,General Cepeda,MX,25.3833,-101.45,32.52,70,6,5.86,clear sky
225,Polunochnoye,RU,60.8697,60.4153,10.89,94,100,0.89,overcast clouds
226,Moerai,PF,-22.4333,-151.3333,79.05,75,13,15.37,light rain
227,Sorland,NO,67.667,12.6934,33.6,76,100,30.36,overcast clouds
228,Gat,IL,31.61,34.7642,52.48,100,89,10.16,overcast clouds
229,Sal Rei,CV,16.1833,-22.9167,68.56,81,0,17.81,clear sky
230,Tonantins,BR,-2.8731,-67.8022,72.84,99,100,3.44,heavy intensity rain
231,Parabel,RU,58.6978,81.4825,22.03,92,100,11.21,light snow
232,Upernavik,GL,72.7868,-56.1549,-1.71,95,100,11.5,overcast clouds
233,Zhangjiakou,CN,40.81,114.8794,20.21,33,0,7.9,light snow
234,Shaowu,CN,27.3409,117.4831,53.4,59,58,1.1,broken clouds
235,Taksimo,RU,56.3444,114.8794,5.52,81,50,1.01,scattered clouds
236,Sioux Lookout,CA,50.1001,-91.917,-19.64,100,73,2.84,broken clouds
237,Half Moon Bay,US,37.4636,-122.4286,56.32,62,0,5.75,clear sky
238,Tsovazard,AM,40.4709,45.0588,19.45,94,95,7.72,light snow
239,Panzhihua,CN,26.5851,101.7128,67.98,32,19,1.45,few clouds
240,Terra Santa,BR,-2.1042,-56.4869,72.3,97,93,1.79,overcast clouds
241,Sun Valley,US,39.5963,-119.776,42.93,50,40,1.99,scattered clouds
242,Rafraf,TN,37.1904,10.1837,55.71,87,93,16.37,overcast clouds
243,Cabo San Lucas,MX,22.8909,-109.9124,62.94,70,0,1.66,clear sky
244,Olga,RU,43.7444,135.2892,14.94,45,12,16.17,few clouds
245,Scarborough,GB,54.2797,-0.4044,39.07,85,35,5.01,scattered clouds
246,Charthawal,IN,29.55,77.5833,56.8,72,0,3.76,clear sky
247,Yafran,LY,32.0633,12.5286,47.7,31,27,10.29,scattered clouds
248,Sorsk,RU,54.0033,90.2467,19.31,73,78,4.05,broken clouds
249,Agadez,NE,19.75,10.25,50.22,35,0,9.13,clear sky
250,Atagay,RU,55.1033,99.3875,20.07,77,100,3.85,overcast clouds
251,Kiama,AU,-34.6833,150.8667,74.37,67,56,1.99,light rain
252,Kavaratti,IN,10.5669,72.642,77.94,58,81,4.79,broken clouds
253,Vostok,RU,46.4856,135.8833,0.57,87,100,6.89,overcast clouds
254,Lokosovo,RU,61.1333,74.8167,8.91,96,100,4.7,overcast clouds
255,Srednekolymsk,RU,67.45,153.6833,-32.13,100,98,0.74,overcast clouds
256,Meulaboh,ID,4.1363,96.1285,84.99,64,87,4.56,overcast clouds
257,Emporia,US,38.4039,-96.1817,17.8,73,0,5.75,clear sky
258,Sitka,US,57.0531,-135.33,42.69,75,100,5.75,overcast clouds
259,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,73.18,89,92,5.44,overcast clouds
260,Kununurra,AU,-15.7667,128.7333,85.98,79,95,2.3,overcast clouds
261,Filadelfia,US,39.9523,-75.1638,31.1,80,100,5.99,overcast clouds
262,Padang,ID,-0.9492,100.3543,82.45,80,91,2.08,overcast clouds
263,Nyurba,RU,63.2842,118.3319,-9.31,94,96,3.4,overcast clouds
